ECO,Opening,black,draw,white,Total,White_Win_%,Black_Win_%,Draw_%,WinRate_Variance,WinRate_StdDev
A00,Van Geet Opening: Kluever Gambit,0,1,1,2,50.0,0.0,50.0,625.0,25.0
A00,Van Geet Opening: Myers Attack,7,3,5,15,33.33333333333333,46.666666666666664,20.0,44.44444444444446,6.666666666666668
A00,Van Geet Opening: Napoleon Attack,16,8,31,55,56.36363636363636,29.09090909090909,14.545454545454545,185.95041322314046,13.636363636363635
A00,Van Geet Opening: Novosibirsk Variation,1,2,0,3,0.0,33.33333333333333,66.66666666666666,277.7777777777777,16.666666666666664
A00,Van Geet Opening: Reversed Nimzowitsch,11,0,12,23,52.17391304347826,47.82608695652174,0.0,4.725897920604903,2.173913043478258
A00,Van Geet Opening: Reversed Scandinavian,1,0,1,2,50.0,50.0,0.0,0.0,0.0
A00,Van Geet Opening: Sicilian Two Knights,6,2,5,13,38.46153846153847,46.15384615384615,15.384615384615385,14.792899408284,3.846153846153843
A00,Van Geet Opening: Tübingen Gambit,1,0,1,2,50.0,50.0,0.0,0.0,0.0
A00,Van Geet Opening: Venezolana Variation,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,Van't Kruijs Opening,235,49,151,435,34.71264367816092,54.02298850574713,11.264367816091953,93.22235434007133,9.655172413793103
A00,Ware Opening,14,7,13,34,38.23529411764706,41.17647058823529,20.588235294117645,2.1626297577854623,1.470588235294116
A00,Ware Opening: Crab Variation,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,Ware Opening: Meadow Hay Trap,0,0,3,3,100.0,0.0,0.0,2500.0,50.0
A00,Ware Opening: Symmetric Variation,2,2,3,7,42.857142857142854,28.57142857142857,28.57142857142857,51.0204081632653,7.142857142857142
A01,Nimzo-Larsen Attack,88,79,142,309,45.9546925566343,28.478964401294498,25.5663430420712,76.35026863983407,8.7378640776699
A01,Nimzo-Larsen Attack: Classical Variation,384,334,477,1195,39.9163179916318,32.13389121338912,27.94979079497908,15.141541639677186,3.89121338912134
A01,Nimzo-Larsen Attack: Dutch Variation,8,8,16,32,50.0,25.0,25.0,156.25,12.5
A01,Nimzo-Larsen Attack: English Variation,66,36,67,169,39.64497041420118,39.053254437869825,21.301775147928996,0.08753194916144298,0.2958579881656789
A01,Nimzo-Larsen Attack: Indian Variation,238,164,307,709,43.30042313117066,33.568406205923836,23.1311706629055,23.678038358322667,4.866008462623412
A01,Nimzo-Larsen Attack: Modern Variation,514,323,536,1373,39.038601602330665,37.436270939548436,23.525127458120902,0.6418658882230346,0.8011653313911147
A01,Nimzo-Larsen Attack: Pachman Gambit,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A01,Nimzo-Larsen Attack: Polish Variation,1,2,3,6,50.0,16.666666666666664,33.33333333333333,277.7777777777778,16.666666666666668
A01,Nimzo-Larsen Attack: Ringelbach Gambit,1,1,2,4,50.0,25.0,25.0,156.25,12.5
A01,Nimzo-Larsen Attack: Spike Variation,5,3,1,9,11.11111111111111,55.55555555555556,33.33333333333333,493.82716049382725,22.222222222222225
A01,Nimzo-Larsen Attack: Symmetrical Variation,19,29,44,92,47.82608695652174,20.652173913043477,31.521739130434785,184.60538752362956,13.586956521739133
A02,Bird Opening,273,140,231,644,35.869565217391305,42.391304347826086,21.73913043478261,10.633270321361055,3.2608695652173907
A02,Bird Opening: Double Duck Formation,0,1,0,1,0.0,0.0,100.0,0.0,0.0
A02,Bird Opening: From's Gambit,14,8,19,41,46.34146341463415,34.146341463414636,19.51219512195122,37.180249851279,6.097560975609756
A02,"Bird Opening: From's Gambit, Langheld Gambit",1,0,1,2,50.0,50.0,0.0,0.0,0.0
A02,"Bird Opening: From's Gambit, Lasker Variation",12,5,9,26,34.61538461538461,46.15384615384615,19.230769230769234,33.284023668639065,5.76923076923077
A02,"Bird Opening: From's Gambit, Lipke Variation",1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A02,Bird Opening: Hobbs Gambit,2,0,0,2,0.0,100.0,0.0,2500.0,50.0
A02,Bird Opening: Horsefly Defense,10,7,16,33,48.484848484848484,30.303030303030305,21.21212121212121,82.64462809917353,9.09090909090909
A02,Bird Opening: Mujannah,1,2,1,4,25.0,25.0,50.0,0.0,0.0
A02,Bird Opening: Myers Defense,1,0,2,3,66.66666666666666,33.33333333333333,0.0,277.7777777777777,16.666666666666664
A02,Bird Opening: Schlechter Gambit,2,0,2,4,50.0,50.0,0.0,0.0,0.0
A02,Bird Opening: Wagner-Zwitersch Gambit,0,0,3,3,100.0,0.0,0.0,2500.0,50.0
A03,Bird Opening: Dutch Variation,352,224,352,928,37.93103448275862,37.93103448275862,24.137931034482758,0.0,0.0
A03,Bird Opening: Lasker Variation,36,17,31,84,36.904761904761905,42.857142857142854,20.238095238095237,8.857709750566883,2.9761904761904745
A03,Bird Opening: Sturm Gambit,7,5,8,20,40.0,35.0,25.0,6.25,2.5
A04,Colle System: Rhamphorhynchus Variation,2,3,0,5,0.0,40.0,60.0,400.0,20.0
A04,"Modern Defense: Semi-Averbakh Variation, Polish Variation",1,4,7,12,58.333333333333336,8.333333333333332,33.33333333333333,625.0000000000001,25.000000000000004
A04,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation",4,4,2,10,20.0,40.0,40.0,100.0,10.0
A04,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted",0,1,1,2,50.0,0.0,50.0,625.0,25.0
A04,Zukertort Opening,12,15,133,160,83.125,7.5,9.375,1429.78515625,37.8125
A04,Zukertort Opening: Arctic Defense,1,0,1,2,50.0,50.0,0.0,0.0,0.0
A04,Zukertort Opening: Basman Defense,2,0,4,6,66.66666666666666,33.33333333333333,0.0,277.7777777777777,16.666666666666664
A04,Zukertort Opening: Black Mustang Defense,55,38,113,206,54.85436893203883,26.699029126213592,18.446601941747574,198.1807898953718,14.07766990291262
A04,Zukertort Opening: Dutch Variation,182,172,270,624,43.269230769230774,29.166666666666668,27.564102564102566,49.72057856673244,7.051282051282054
A04,Zukertort Opening: Herrstrom Gambit,1,1,2,4,50.0,25.0,25.0,156.25,12.5
A04,Zukertort Opening: Kingside Fianchetto,327,230,337,894,37.69574944071588,36.577181208053695,25.727069351230426,0.31279872278025067,0.5592841163310922
A04,Zukertort Opening: Lisitsyn Gambit,7,4,10,21,47.61904761904761,33.33333333333333,19.047619047619047,51.0204081632653,7.142857142857142
A04,Zukertort Opening: Lisitsyn Gambit Deferred,7,13,39,59,66.10169491525424,11.864406779661017,22.033898305084744,735.4208560758404,27.118644067796613
A04,Zukertort Opening: Pirc Invitation,128,88,160,376,42.5531914893617,34.04255319148936,23.404255319148938,18.107741059302853,4.25531914893617
A04,Zukertort Opening: Polish Defense,11,13,22,46,47.82608695652174,23.91304347826087,28.26086956521739,142.9584120982987,11.956521739130435
A04,Zukertort Opening: Queen's Gambit Invitation,107,112,216,435,49.6551724137931,24.597701149425287,25.74712643678161,156.9692165411547,12.528735632183908
A04,Zukertort Opening: Queenside Fianchetto Variation,74,62,75,211,35.54502369668246,35.07109004739337,29.383886255924168,0.056153275982119534,0.2369668246445471
A04,Zukertort Opening: Ross Gambit,1,2,12,15,80.0,6.666666666666667,13.333333333333334,1344.4444444444446,36.66666666666667
A04,Zukertort Opening: Sicilian Invitation,586,458,635,1679,37.82013103037522,34.901727218582494,27.27814175104229,2.129270202171582,1.4592019058963643
A04,Zukertort Opening: Slav Invitation,27,24,72,123,58.536585365853654,21.951219512195124,19.51219512195122,334.62224866151087,18.292682926829265
A04,Zukertort Opening: St. George Defense,5,2,4,11,36.36363636363637,45.45454545454545,18.181818181818183,20.66115702479337,4.545454545454543
A04,Zukertort Opening: The Walrus,0,0,2,2,100.0,0.0,0.0,2500.0,50.0
A04,Zukertort Opening: Vos Gambit,1,1,8,10,80.0,10.0,10.0,1225.0,35.0
A04,Zukertort Opening: Wade Defense,2,3,4,9,44.44444444444444,22.22222222222222,33.33333333333333,123.45679012345678,11.11111111111111
A04,Zukertort Opening: Ware Defense,1,0,1,2,50.0,50.0,0.0,0.0,0.0
A05,King's Indian Attack,948,1135,1707,3790,45.03957783641161,25.013192612137203,29.947229551451187,100.26402628775907,10.013192612137203
A05,King's Indian Attack: Smyslov Variation,2,10,24,36,66.66666666666666,5.555555555555555,27.77777777777778,933.6419753086417,30.55555555555555
A05,King's Indian Attack: Spassky Variation,200,189,187,576,32.46527777777778,34.72222222222222,32.8125,1.2734495563271586,1.1284722222222214
A05,King's Indian Attack: Symmetrical Defense,547,689,950,2186,43.4583714547118,25.02287282708143,31.51875571820677,84.96690241234035,9.217749313815187
A05,King's Indian Attack: Wahls Defense,113,76,139,328,42.3780487804878,34.45121951219512,23.170731707317074,15.708655562165388,3.9634146341463428
A05,Polish Opening: Zukertort System,15,3,12,30,40.0,50.0,10.0,25.0,5.0
A05,Zukertort Opening,460,487,619,1566,39.52745849297574,29.374201787994892,31.098339719029372,25.772155429309635,5.076628352490424
A05,Zukertort Opening: Double Fianchetto Attack,17,8,21,46,45.65217391304348,36.95652173913043,17.391304347826086,18.903591682419673,4.347826086956523
A05,Zukertort Opening: Lemberger Gambit,8,0,2,10,20.0,80.0,0.0,900.0,30.0
A05,Zukertort Opening: Myers Polish Attack,0,0,1,1,100.0,0.0,0.0,2500.0,50.0
A05,Zukertort Opening: Nimzo-Larsen Variation,497,483,680,1660,40.963855421686745,29.93975903614458,29.096385542168672,30.38267527943096,5.512048192771083
A05,Zukertort Opening: Quiet System,132,110,158,400,39.5,33.0,27.500000000000004,10.5625,3.25
A06,Nimzo-Larsen Attack: Classical Variation,404,390,573,1367,41.916605705925384,29.55376737381127,28.52962692026335,38.20994290649753,6.181419166057058
A06,Nimzo-Larsen Attack: Norfolk Gambit,0,4,1,5,20.0,0.0,80.0,100.0,10.0
A06,Zukertort Opening,603,805,1006,2414,41.673570836785416,24.979287489643745,33.34714167357083,69.67477411866292,8.347141673570835
A06,Zukertort Opening: Old Indian Attack,58,25,52,135,38.51851851851852,42.96296296296296,18.51851851851852,4.938271604938268,2.2222222222222214
A06,Zukertort Opening: Reversed Mexican Defense,27,6,13,46,28.26086956521739,58.69565217391305,13.043478260869565,231.5689981096409,15.217391304347828
A06,Zukertort Opening: Santasiere's Folly,14,5,18,37,48.64864864864865,37.83783783783784,13.513513513513514,29.218407596785994,5.405405405405407
A06,Zukertort Opening: Tennison Gambit,35,5,24,64,37.5,54.6875,7.8125,73.8525390625,8.59375
A06,"Zukertort Opening: Tennison Gambit, Brigg's Trap",0,0,2,2,100.0,0.0,0.0,2500.0,50.0
A06,Zukertort Opening: The Potato,2,1,3,6,50.0,33.33333333333333,16.666666666666664,69.44444444444449,8.333333333333336
A07,King's Indian Attack,797,783,1087,2667,40.75740532433446,29.88376452943382,29.358830146231725,29.559016034131844,5.436820397450319
A07,King's Indian Attack: Double Fianchetto,226,386,331,943,35.100742311770944,23.966065747614,40.93319194061506,30.99525554709647,5.567338282078472
A07,King's Indian Attack: Keres Variation,181,240,267,688,38.80813953488372,26.308139534883722,34.883720930232556,39.0625,6.25
A07,King's Indian Attack: Pachman System,49,54,88,191,46.07329842931937,25.654450261780106,28.272251308900525,104.23234012225542,10.209424083769633
A07,King's Indian Attack: Sicilian Variation,19,14,24,57,42.10526315789473,33.33333333333333,24.561403508771928,19.236688211757468,4.385964912280702
A07,King's Indian Attack: Yugoslav Variation,140,197,200,537,37.243947858473,26.0707635009311,36.6852886405959,31.210012171904747,5.58659217877095
A08,King's Indian Attack: French Variation,93,59,109,261,41.7624521072797,35.63218390804598,22.60536398467433,9.395047048634055,3.0651340996168592
A08,King's Indian Attack: Sicilian Variation,298,291,474,1063,44.590780809031045,28.033866415804326,27.37535277516463,68.53285355615952,8.27845719661336
A08,Zukertort Opening: Reversed Grünfeld,195,292,469,956,49.05857740585774,20.397489539748953,30.543933054393307,205.3644894172021,14.330543933054393
A09,Réti Opening,123,136,220,479,45.92901878914405,25.678496868475992,28.39248434237996,102.5209095148644,10.12526096033403
A09,Réti Opening: Advance Variation,215,122,193,530,36.41509433962264,40.56603773584906,23.0188679245283,4.307582769668924,2.0754716981132084
A09,"Réti Opening: Advance Variation, Michel Gambit",33,29,27,89,30.337078651685395,37.07865168539326,32.58426966292135,11.362201742204268,3.370786516853933
A09,Réti Opening: Reversed Blumenfeld Gambit,33,17,29,79,36.708860759493675,41.77215189873418,21.518987341772153,6.409229290177852,2.5316455696202524
A09,Réti Opening: Réti Accepted,19,20,48,87,55.172413793103445,21.839080459770116,22.988505747126435,277.7777777777777,16.666666666666664
A09,"Réti Opening: Réti Gambit, Keres Variation",0,4,0,4,0.0,0.0,100.0,0.0,0.0
A10,English Opening,295,212,408,915,44.59016393442623,32.240437158469945,23.169398907103826,38.1289378601929,6.174863387978142
A10,English Opening: Adorjan Defense,8,10,11,29,37.93103448275862,27.586206896551722,34.48275862068966,26.753864447086805,5.172413793103448
A10,English Opening: Anglo-Dutch Defense,164,119,169,452,37.389380530973455,36.283185840707965,26.327433628318587,0.3059166731928906,0.5530973451327448
A10,"English Opening: Anglo-Dutch Defense, Hickmann Gambit",1,0,3,4,75.0,25.0,0.0,625.0,25.0
A10,"English Opening: Anglo-Dutch Variation, Ferenc Gambit",0,1,1,2,50.0,0.0,50.0,625.0,25.0
A10,English Opening: Anglo-Lithuanian Variation,6,5,23,34,67.64705882352942,17.647058823529413,14.705882352941178,625.0000000000002,25.000000000000004
A10,English Opening: Anglo-Scandinavian Defense,12,5,37,54,68.51851851851852,22.22222222222222,9.25925925925926,535.8367626886145,23.14814814814815
A10,"English Opening: Anglo-Scandinavian Defense, Löhn Gambit",1,1,2,4,50.0,25.0,25.0,156.25,12.5
A10,"English Opening: Anglo-Scandinavian Defense, Malvinas Variation",0,1,8,9,88.88888888888889,0.0,11.11111111111111,1975.3086419753085,44.44444444444444
A10,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",4,2,7,13,53.84615384615385,30.76923076923077,15.384615384615385,133.1360946745562,11.538461538461538
A10,English Opening: Great Snake Variation,288,187,284,759,37.417654808959156,37.94466403162055,24.637681159420293,0.06943468019254094,0.2635046113306956
A10,English Opening: Jaenisch Gambit,3,2,9,14,64.28571428571429,21.428571428571427,14.285714285714285,459.18367346938794,21.428571428571434
A10,"English Opening: King's English Variation, Botvinnik System, Prickly Pawn Pass System",4,3,2,9,22.22222222222222,44.44444444444444,33.33333333333333,123.45679012345678,11.11111111111111
A10,English Opening: Myers Defense,1,1,2,4,50.0,25.0,25.0,156.25,12.5
A10,English Opening: Porcupine Variation,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A10,English Opening: Wade Gambit,2,0,3,5,60.0,40.0,0.0,100.0,10.0
A11,English Opening: Caro-Kann Defensive System,382,489,574,1445,39.72318339100346,26.43598615916955,33.84083044982699,44.13740256941369,6.6435986159169556
A12,"Réti Opening: Anglo-Slav Variation, Bled Variation",8,6,28,42,66.66666666666666,19.047619047619047,14.285714285714285,566.893424036281,23.809523809523807
A12,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation",26,25,49,100,49.0,26.0,25.0,132.25,11.5
A12,"Réti Opening: Anglo-Slav Variation, Capablanca Variation",6,5,9,20,45.0,30.0,25.0,56.25,7.5
A12,"Réti Opening: Anglo-Slav Variation, London Defensive System",12,12,14,38,36.84210526315789,31.57894736842105,31.57894736842105,6.925207756232679,2.6315789473684195
A12,"Réti Opening: Anglo-Slav Variation, New York System",14,11,48,73,65.75342465753424,19.17808219178082,15.068493150684931,542.3156314505534,23.287671232876708
A12,"Réti Opening: Anglo-Slav Variation, Torre System",5,8,3,16,18.75,31.25,50.0,39.0625,6.25
A13,English Opening: Agincourt Defense,1137,1003,1342,3482,38.541068351522114,32.65364732912119,28.805284319356694,8.665431573752079,2.943710511200461
A13,"English Opening: Agincourt Defense, Bogoljubow Defense",26,41,54,121,44.62809917355372,21.487603305785125,33.88429752066116,133.8706372515539,11.570247933884298
A13,"English Opening: Agincourt Defense, Catalan Defense",12,23,30,65,46.15384615384615,18.461538461538463,35.38461538461539,191.7159763313609,13.846153846153845
A13,"English Opening: Agincourt Defense, Catalan Defense Accepted",229,357,378,964,39.211618257261414,23.7551867219917,37.03319502074689,59.72531895112003,7.7282157676348575
A13,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense",39,54,143,236,60.59322033898306,16.52542372881356,22.88135593220339,485.49267451881656,22.033898305084747
A13,"English Opening: Agincourt Defense, Kurajica Defense",8,9,16,33,48.484848484848484,24.242424242424242,27.27272727272727,146.92378328741964,12.121212121212121
A13,"English Opening: Agincourt Defense, Tarrasch Defense",10,14,22,46,47.82608695652174,21.73913043478261,30.434782608695656,170.13232514177696,13.043478260869566
A13,"English Opening: Agincourt Defense, Wimpy System",118,144,170,432,39.351851851851855,27.314814814814813,33.33333333333333,36.222565157750374,6.018518518518521
A13,English Opening: Neo-Catalan,222,245,303,770,39.350649350649356,28.83116883116883,31.818181818181817,27.66486759993256,5.259740259740262
A13,English Opening: Neo-Catalan Declined,28,29,40,97,41.23711340206185,28.865979381443296,29.896907216494846,38.26123923902646,6.185567010309278
A13,English Opening: Romanishin Gambit,26,32,26,84,30.952380952380953,30.952380952380953,38.095238095238095,0.0,0.0
A14,"English Opening: Agincourt Defense, Keres Defense",8,15,16,39,41.02564102564102,20.51282051282051,38.46153846153847,105.19395134779748,10.256410256410255
A14,"English Opening: Agincourt Defense, Neo-Catalan Declined",428,672,799,1899,42.07477619799895,22.538177988414958,35.3870458135861,95.41966740068011,9.768299104791996
A14,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation, Stonewall Line",23,43,93,159,58.490566037735846,14.465408805031446,27.044025157232703,484.5536173410862,22.0125786163522
A15,English Opening: Anglo-Indian Defense,451,374,546,1371,39.82494529540481,32.89569657184537,27.27935813274982,12.00362196823753,3.4646243617797197
A15,"English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld",32,54,73,159,45.911949685534594,20.125786163522015,33.9622641509434,166.23155729599304,12.89308176100629
A15,"English Opening: Anglo-Indian Defense, Grünfeld Formation",2,2,2,6,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0
A15,"English Opening: Anglo-Indian Defense, King's Indian Formation",326,307,478,1111,43.024302430243026,29.34293429342934,27.632763276327633,46.794958523755184,6.840684068406842
A15,"English Opening: Anglo-Indian Defense, King's Indian Formation, Double Fianchetto",53,67,43,163,26.380368098159508,32.515337423312886,41.104294478527606,9.409462155143224,3.067484662576689
A15,"English Opening: Anglo-Indian Defense, King's Knight Variation",387,546,751,1684,44.596199524940616,22.980997624703086,32.4228028503563,116.80423829700803,10.807600950118765
A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",36,34,51,121,42.14876033057851,29.75206611570248,28.09917355371901,38.41950686428522,6.198347107438016
A15,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",148,175,197,520,37.88461538461539,28.46153846153846,33.65384615384615,22.198594674556233,4.7115384615384635
A15,"English Opening: Anglo-Indian Defense, Romanishin Variation",2,4,7,13,53.84615384615385,15.384615384615385,30.76923076923077,369.82248520710056,19.23076923076923
A15,"English Opening: Anglo-Indian Defense, Scandinavian Defense",10,7,23,40,57.49999999999999,25.0,17.5,264.0624999999999,16.249999999999996
A15,"English Opening: Anglo-Indian Defense, Scandinavian Defense, Exchange Variation",5,10,44,59,74.57627118644068,8.47457627118644,16.94915254237288,1092.3585176673369,33.050847457627114
A15,"English Opening: Anglo-Indian Defense, Slav Formation",11,11,26,48,54.166666666666664,22.916666666666664,22.916666666666664,244.140625,15.625
A15,English Orangutan,5,1,0,6,0.0,83.33333333333334,16.666666666666664,1736.1111111111115,41.66666666666667
A16,English Opening: Anglo-Grünfeld Defense,35,32,54,121,44.62809917355372,28.92561983471074,26.446280991735538,61.64196434669768,7.85123966942149
A16,"English Opening: Anglo-Grünfeld Defense, Korchnoi Variation",1,3,0,4,0.0,25.0,75.0,156.25,12.5
A16,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",112,195,314,621,50.56360708534622,18.035426731078903,31.40096618357488,264.5206292899355,16.264090177133657
A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",483,277,516,1276,40.43887147335423,37.85266457680251,21.70846394984326,1.6721165279429229,1.2931034482758612
A17,English Opening: Anglo-Indian Defense,27,42,38,107,35.51401869158878,25.233644859813083,39.25233644859813,26.421521530264638,5.140186915887849
A17,"English Opening: Anglo-Indian Defense, Hedgehog System",131,90,145,366,39.61748633879781,35.79234972677596,24.59016393442623,3.6579175251575005,1.9125683060109253
A17,"English Opening: Anglo-Indian Defense, Nimzo-English",43,61,87,191,45.54973821989529,22.5130890052356,31.93717277486911,132.67180175982023,11.518324607329845
